TAMWORTH DC,NSW,-30.964928,150.825148
WESTDALE LPO,NSW,-31.272046,150.96962
WERRIS CREEK LPO,NSW,-31.345921,150.619915
CURRABUBULA LPO,NSW,-31.262722,150.734256
QUIRINDI DELIVERY,NSW,-31.65821,150.30281
SPRING RIDGE LPO,NSW,-31.553061,150.239451
CAROONA LPO,NSW,-31.399114,150.427946
DURI LPO,NSW,-31.219024,150.819076
ATTUNGA LPO,NSW,-30.930991,150.847933
MANILLA LPO,NSW,-30.609264,150.50534
BARRABA LPO,NSW,-30.527226,150.44311
ARMIDALE DC,NSW,-30.240605,152.012929
UNIVERSITY OF NEW ENGLAND LPO,NSW,-30.49299,151.639714
KOOTINGAL LPO,NSW,-31.057413,151.054338
MOONBI,NSW,-30.951431,151.045963
WALCHA LPO,NSW,-31.266104,151.549993
WALCHA DELIVERY,NSW,-30.944669,151.402728
BENDEMEER LPO,NSW,-30.878399,151.159905
GWABEGAR LPO,NSW,-30.619798,148.96949
COONABARABRAN DELIVERY,NSW,-31.50933,149.793251
URALLA LPO,NSW,-30.588547,151.556745
BUNDARRA LPO,NSW,-29.996058,151.080554
INVERELL DC,NSW,-29.83895,151.041719
ASHFORD LPO,NSW,-29.321245,151.096081
GUYRA LPO,NSW,-30.075367,151.880535
TINGHA LPO,NSW,-29.908381,151.205576
GLEN INNES DELIVERY,NSW,-29.644588,151.962405
DEEPWATER LPO,NSW,-29.393231,152.041527
TENTERFIELD DELIVERY,NSW,-28.931739,151.702544
MULLALEY LPO,NSW,-31.067541,149.712049
GUNNEDAH DC,NSW,-30.798568,150.199631
GUNNEDAH,NSW,-31.244175,150.457901
BOGGABRI LPO,NSW,-30.704728,150.042508
BURREN JUNCTION,NSW,-30.105176,148.965674
ROWENA LPO,NSW,-29.780297,149.090561
WEE WAA LPO,NSW,-30.087425,149.438586
NARRABRI DELIVERY,NSW,-30.60138,149.966153
NARRABRI WEST LPO,NSW,-30.34053,149.756588
BINNAWAY LPO,NSW,-31.552115,149.378497
BARADINE LPO,NSW,-30.943207,149.065815
BELLATA LPO,NSW,-29.919624,149.790978
GURLEY LPO,NSW,-29.735601,149.79988
PALLAMALLAWA LPO,NSW,-29.580064,150.136946
MOREE DELIVERY,NSW,-29.317772,149.808064
MOREE EAST LPO,NSW,-29.471256,149.846553
GRAVESEND LPO,NSW,-29.582339,150.337609
WARIALDA LPO,NSW,-29.510948,150.751185
DELUNGRA LPO,NSW,-29.652485,150.830948
BINGARA LPO,NSW,-29.804159,150.478053
BOOMI LPO,NSW,-28.725412,149.57915
GARAH LPO,NSW,-29.075482,149.636398
MUNGINDI LPO,NSW,-28.999013,149.100731
NORTH STAR,NSW,-28.93259,150.391368
BOGGABILLA LPO,NSW,-28.744821,150.415347
YETMAN LPO,NSW,-29.045063,150.644388
CROPPA CREEK LPO,NSW,-29.129441,150.381167
STROUD LPO,NSW,-32.292336,151.859784
DUNGOG LPO,NSW,-32.434801,151.771934
PATERSON LPO,NSW,-32.507287,151.532802
GLOUCESTER LPO,NSW,-31.972237,152.065675
BULAHDELAH LPO,NSW,-32.494001,152.276285
TAREE DC,NSW,-31.802185,152.068568
HARRINGTON LPO,NSW,-31.872153,152.689811
FORSTER DC,NSW,-32.347684,152.53525
FORSTER SHOPPING VILLAGE LPO,NSW,-32.200461,152.518509
PACIFIC PALMS LPO,NSW,-32.340416,152.520588
CHATHAM LPO,NSW,-31.899947,152.489572
CUNDLETOWN,NSW,-31.897697,152.516666
LANSDOWNE LPO,NSW,-31.782989,152.534579
OLD BAR LPO,NSW,-31.969037,152.585163
TINONEE LPO,NSW,-31.93777,152.413824
SOUTH WEST ROCKS,NSW,-30.888231,153.066955
KENDALL LPO,NSW,-31.658604,152.679031
KEMPSEY DC,NSW,-31.058949,152.768142
WILLAWARRIN LPO,NSW,-30.899756,152.248557
CRESCENT HEAD,NSW,-31.189517,152.9768
FREDERICKTON LPO,NSW,-31.037762,152.878933
GLADSTONE LPO,NSW,-31.022073,152.94899
HAT HEAD LPO,NSW,-31.054491,153.049963
SMITHTOWN LPO,NSW,-31.015176,152.943995
